Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Total_Children,Total_Spending,Total_Purchases,Avg_Spending_Per_Purchase,Income_Per_Capita,Customer_Days,Income_Category,Spending_Category
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,1,0,54,0,1190,15,79.33,84835.0,3486,High,High Spender
1,1961,Graduation,Single,57091.0,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,1,0,63,0,577,18,32.06,57091.0,3487,Medium,Medium Spender
10476,1958,Graduation,Married,67267.0,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,66,1,251,11,22.82,33633.5,3520,High,Medium Spender
1386,1967,Graduation,Together,32474.0,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,57,2,11,4,2.75,10824.67,3344,Medium,Low Spender
5371,1989,Graduation,Single,21474.0,1,0,2014-08-04,0,6,16,24,11,0,34,2,3,1,2,7,1,0,35,1,91,8,11.38,10737.0,3437,Low,Low Spender
7348,1958,PhD,Single,71691.0,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,1,0,66,0,1192,17,70.12,71691.0,3577,High,High Spender
4073,1954,2n Cycle,Married,63564.0,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,70,0,1215,28,43.39,63564.0,3624,High,High Spender
1991,1967,Graduation,Together,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,57,1,96,7,13.71,22465.5,3635,Medium,Low Spender
4047,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,70,1,544,20,27.2,32662.0,3348,High,Medium Spender
9477,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,70,1,544,20,27.2,32662.0,3348,High,Medium Spender
2079,1947,2n Cycle,Married,81044.0,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,77,0,1208,22,54.91,81044.0,3657,High,High Spender
5642,1979,Master,Together,62499.0,1,0,2013-09-12,0,140,4,61,0,13,4,2,3,1,6,4,0,0,45,1,222,12,18.5,31249.5,3763,High,Medium Spender
10530,1959,PhD,Widow,67786.0,0,0,2013-07-12,0,431,82,441,80,20,102,1,3,6,6,1,1,0,65,0,1156,16,72.25,67786.0,3825,High,High Spender
2964,1981,Graduation,Married,26872.0,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,43,0,72,5,14.4,26872.0,3729,Low,Low Spender
10311,1969,Graduation,Married,4428.0,0,1,2013-05-10,0,16,4,12,2,4,321,0,25,0,0,1,0,0,55,1,359,25,14.36,2214.0,3888,Low,Medium Spender
837,1977,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,0,0,47,2,174,12,14.5,18269.67,3705,Medium,Medium Spender
10521,1977,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,1,0,47,2,174,12,14.5,18269.67,3705,Medium,Medium Spender
10175,1958,PhD,Divorced,32173.0,0,1,2013-01-08,0,18,0,2,0,0,2,1,1,0,3,4,0,0,66,1,22,5,4.4,16086.5,4010,Medium,Low Spender
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,64,1,72,7,10.29,23911.5,3814,Medium,Low Spender
2795,1958,Master,Single,30523.0,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,66,3,13,4,3.25,7630.75,4011,Medium,Low Spender
2285,1954,Master,Together,36634.0,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,70,1,335,15,22.33,18317.0,3870,Medium,Medium Spender
115,1966,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,58,1,393,17,23.12,21728.0,3933,Medium,Medium Spender
10470,1979,Master,Married,40662.0,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,45,1,92,8,11.5,20331.0,3944,Medium,Low Spender
4065,1976,PhD,Married,49544.0,1,0,2013-12-02,0,308,0,73,0,0,23,2,5,1,8,7,0,0,48,1,404,16,25.25,24772.0,3682,Medium,Medium Spender
10968,1969,Graduation,Single,57731.0,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,55,1,704,26,27.08,28865.5,4056,Medium,Medium Spender
5985,1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,59,1,122,10,12.2,16584.0,4097,Medium,Medium Spender
5430,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,68,2,684,31,22.06,18150.0,4126,Medium,Medium Spender
8432,1956,Graduation,Together,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,68,2,684,31,22.06,18150.0,4126,Medium,Medium Spender
453,1956,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,68,2,45,7,6.43,11780.0,3473,Medium,Low Spender
9687,1975,Graduation,Single,73170.0,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,49,0,726,16,45.38,73170.0,3502,High,Medium Spender
8890,1971,PhD,Divorced,65808.0,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,53,2,272,14,19.43,21936.0,3503,High,Medium Spender
